datum,mesicrok,volnamista
1993-01-31,leden 1993,"74,6"
1993-02-28,únor 1993,"72,4"
1993-03-31,březen 1993,"73,1"
1993-04-30,duben 1993,"71,9"
1993-05-31,květen 1993,"74,4"
1993-06-30,červen 1993,74
1993-07-31,červenec 1993,"72,3"
1993-08-31,srpen 1993,"71,9"
1993-09-30,září 1993,"65,8"
1993-10-31,říjen 1993,"60,5"
1993-11-30,listopad 1993,"55,1"
1993-12-31,prosinec 1993,"53,9"
1994-01-31,leden 1994,"56,4"
1994-02-28,únor 1994,"60,7"
1994-03-31,březen 1994,"66,3"
1994-04-30,duben 1994,"69,7"
1994-05-31,květen 1994,"74,1"
1994-06-30,červen 1994,"78,5"
1994-07-31,červenec 1994,"81,3"
1994-08-31,srpen 1994,87
1994-09-30,září 1994,"82,2"
1994-10-31,říjen 1994,"79,5"
1994-11-30,listopad 1994,"76,6"
1994-12-31,prosinec 1994,"76,6"
1995-01-31,leden 1995,"75,7"
1995-02-28,únor 1995,"81,2"
1995-03-31,březen 1995,87
1995-04-30,duben 1995,"89,6"
1995-05-31,květen 1995,"95,2"
1995-06-30,červen 1995,"98,7"
1995-07-31,červenec 1995,"100,9"
1995-08-31,srpen 1995,"101,4"
1995-09-30,září 1995,"94,4"
1995-10-31,říjen 1995,"92,4"
1995-11-30,listopad 1995,"90,5"
1995-12-31,prosinec 1995,88
1996-01-31,leden 1996,"89,9"
1996-02-29,únor 1996,"94,3"
1996-03-31,březen 1996,"95,8"
1996-04-30,duben 1996,101
1996-05-31,květen 1996,"106,6"
1996-06-30,červen 1996,"109,8"
1996-07-31,červenec 1996,"107,8"
1996-08-31,srpen 1996,"109,4"
1996-09-30,září 1996,"102,9"
1996-10-31,říjen 1996,"95,5"
1996-11-30,listopad 1996,"87,6"
1996-12-31,prosinec 1996,84
1997-01-31,leden 1997,"81,5"
1997-02-28,únor 1997,"83,6"
1997-03-31,březen 1997,"87,1"
1997-04-30,duben 1997,"84,4"
1997-05-31,květen 1997,"84,9"
1997-06-30,červen 1997,"81,6"
1997-07-31,červenec 1997,"77,4"
1997-08-31,srpen 1997,"78,4"
1997-09-30,září 1997,"73,2"
1997-10-31,říjen 1997,"68,4"
1997-11-30,listopad 1997,"64,4"
1997-12-31,prosinec 1997,"62,3"
1998-01-31,leden 1998,"61,3"
1998-02-28,únor 1998,"62,5"
1998-03-31,březen 1998,"64,3"
1998-04-30,duben 1998,"66,5"
1998-05-31,květen 1998,"62,1"
1998-06-30,červen 1998,"58,2"
1998-07-31,červenec 1998,"56,7"
1998-08-31,srpen 1998,"54,5"
1998-09-30,září 1998,"51,4"
1998-10-31,říjen 1998,"46,9"
1998-11-30,listopad 1998,"43,2"
1998-12-31,prosinec 1998,"37,6"
1999-01-31,leden 1999,"36,1"
1999-02-28,únor 1999,"35,2"
1999-03-31,březen 1999,33
1999-04-30,duben 1999,"32,8"
1999-05-31,květen 1999,"33,5"
1999-06-30,červen 1999,"34,5"
1999-07-31,červenec 1999,"36,5"
1999-08-31,srpen 1999,"38,6"
1999-09-30,září 1999,"36,7"
1999-10-31,říjen 1999,"37,6"
1999-11-30,listopad 1999,"36,9"
1999-12-31,prosinec 1999,"35,1"
2000-01-31,leden 2000,"34,7"
2000-02-29,únor 2000,"37,1"
2000-03-31,březen 2000,"38,4"
2000-04-30,duben 2000,"41,4"
2000-05-31,květen 2000,45
2000-06-30,červen 2000,48
2000-07-31,červenec 2000,"49,5"
2000-08-31,srpen 2000,"54,6"
2000-09-30,září 2000,"53,1"
2000-10-31,říjen 2000,"54,2"
2000-11-30,listopad 2000,"52,5"
2000-12-31,prosinec 2000,"52,1"
2001-01-31,leden 2001,"53,5"
2001-02-28,únor 2001,"54,9"
2001-03-31,březen 2001,"55,7"
2001-04-30,duben 2001,58
2001-05-31,květen 2001,60
2001-06-30,červen 2001,"59,8"
2001-07-31,červenec 2001,"60,7"
2001-08-31,srpen 2001,"63,6"
2001-09-30,září 2001,"62,9"
2001-10-31,říjen 2001,"60,5"
2001-11-30,listopad 2001,"56,5"
2001-12-31,prosinec 2001,"52,1"
2002-01-31,leden 2002,"51,7"
2002-02-28,únor 2002,"49,4"
2002-03-31,březen 2002,"49,2"
2002-04-30,duben 2002,"48,8"
2002-05-31,květen 2002,"49,5"
2002-06-30,červen 2002,"49,1"
2002-07-31,červenec 2002,"50,2"
2002-08-31,srpen 2002,"50,9"
2002-09-30,září 2002,"48,3"
2002-10-31,říjen 2002,"46,1"
2002-11-30,listopad 2002,"43,4"
2002-12-31,prosinec 2002,"40,7"
2003-01-31,leden 2003,"40,3"
2003-02-28,únor 2003,"40,2"
2003-03-31,březen 2003,"41,3"
2003-04-30,duben 2003,"41,2"
2003-05-31,květen 2003,"42,3"
2003-06-30,červen 2003,43
2003-07-31,červenec 2003,"43,7"
2003-08-31,srpen 2003,"45,5"
2003-09-30,září 2003,"45,2"
2003-10-31,říjen 2003,"44,2"
2003-11-30,listopad 2003,"42,7"
2003-12-31,prosinec 2003,"40,2"
2004-01-31,leden 2004,"41,7"
2004-02-29,únor 2004,"43,9"
2004-03-31,březen 2004,"42,4"
2004-04-30,duben 2004,"42,7"
2004-05-31,květen 2004,"44,7"
2004-06-30,červen 2004,"45,4"
2004-07-31,červenec 2004,"45,7"
2004-08-31,srpen 2004,"48,5"
2004-09-30,září 2004,"47,1"
2004-10-31,říjen 2004,49
2004-11-30,listopad 2004,"50,3"
2004-12-31,prosinec 2004,"51,2"
2005-01-31,leden 2005,"51,8"
2005-02-28,únor 2005,"53,8"
2005-03-31,březen 2005,"53,7"
2005-04-30,duben 2005,"54,1"
2005-05-31,květen 2005,"57,2"
2005-06-30,červen 2005,57
2005-07-31,červenec 2005,"56,8"
2005-08-31,srpen 2005,"59,3"
2005-09-30,září 2005,"55,8"
2005-10-31,říjen 2005,"55,1"
2005-11-30,listopad 2005,53
2005-12-31,prosinec 2005,"52,2"
2006-01-31,leden 2006,"59,4"
2006-02-28,únor 2006,"66,5"
2006-03-31,březen 2006,"70,5"
2006-04-30,duben 2006,"74,1"
2006-05-31,květen 2006,"80,9"
2006-06-30,červen 2006,"85,9"
2006-07-31,červenec 2006,"88,2"
2006-08-31,srpen 2006,"94,1"
2006-09-30,září 2006,"97,5"
2006-10-31,říjen 2006,"101,1"
2006-11-30,listopad 2006,99
2006-12-31,prosinec 2006,"93,4"
2007-01-31,leden 2007,"97,9"
2007-02-28,únor 2007,"104,9"
2007-03-31,březen 2007,"107,7"
2007-04-30,duben 2007,"113,9"
2007-05-31,květen 2007,"119,5"
2007-06-30,červen 2007,"123,3"
2007-07-31,červenec 2007,124
2007-08-31,srpen 2007,"133,4"
2007-09-30,září 2007,"137,4"
2007-10-31,říjen 2007,"143,5"
2007-11-30,listopad 2007,"141,3"
2007-12-31,prosinec 2007,"141,1"
2008-01-31,leden 2008,"145,9"
2008-02-29,únor 2008,"150,3"
2008-03-31,březen 2008,"151,3"
2008-04-30,duben 2008,"152,3"
2008-05-31,květen 2008,"151,3"
2008-06-30,červen 2008,"151,9"
2008-07-31,červenec 2008,"150,2"
2008-08-31,srpen 2008,"150,9"
2008-09-30,září 2008,"139,6"
2008-10-31,říjen 2008,"130,1"
2008-11-30,listopad 2008,"111,3"
2008-12-31,prosinec 2008,"91,2"
2009-01-31,leden 2009,"68,5"
2009-02-28,únor 2009,"64,9"
2009-03-31,březen 2009,"55,4"
2009-04-30,duben 2009,"50,5"
2009-05-31,květen 2009,"48,3"
2009-06-30,červen 2009,"43,4"
2009-07-31,červenec 2009,"41,8"
2009-08-31,srpen 2009,"41,3"
2009-09-30,září 2009,"38,8"
2009-10-31,říjen 2009,"35,8"
2009-11-30,listopad 2009,"32,9"
2009-12-31,prosinec 2009,"30,9"
2010-01-31,leden 2010,"31,6"
2010-02-28,únor 2010,"32,1"
2010-03-31,březen 2010,"33,1"
2010-04-30,duben 2010,"32,9"
2010-05-31,květen 2010,"33,1"
2010-06-30,červen 2010,"32,9"
2010-07-31,červenec 2010,"33,5"
2010-08-31,srpen 2010,"36,6"
2010-09-30,září 2010,"35,1"
2010-10-31,říjen 2010,"33,7"
2010-11-30,listopad 2010,"32,3"
2010-12-31,prosinec 2010,"30,8"
2011-01-31,leden 2011,"31,4"
2011-02-28,únor 2011,"32,2"
2011-03-31,březen 2011,"33,9"
2011-04-30,duben 2011,"36,1"
2011-05-31,květen 2011,"37,6"
2011-06-30,červen 2011,"38,4"
2011-07-31,červenec 2011,"38,9"
2011-08-31,srpen 2011,"40,8"
2011-09-30,září 2011,"39,8"
2011-10-31,říjen 2011,"38,7"
2011-11-30,listopad 2011,"36,8"
2011-12-31,prosinec 2011,"35,8"
2012-01-31,leden 2012,"34,5"
2012-02-29,únor 2012,"36,7"
2012-03-31,březen 2012,"39,9"
2012-04-30,duben 2012,"41,7"
2012-05-31,květen 2012,"43,7"
2012-06-30,červen 2012,"42,8"
2012-07-31,červenec 2012,"41,1"
2012-08-31,srpen 2012,"42,6"
2012-09-30,září 2012,"40,8"
2012-10-31,říjen 2012,"40,7"
2012-11-30,listopad 2012,"38,8"
2012-12-31,prosinec 2012,"34,9"
2013-01-31,leden 2013,"33,8"
2013-02-28,únor 2013,"34,6"
2013-03-31,březen 2013,"38,9"
2013-04-30,duben 2013,"39,8"
2013-05-31,květen 2013,"42,6"
2013-06-30,červen 2013,44
2013-07-31,červenec 2013,"40,2"
2013-08-31,srpen 2013,"40,6"
2013-09-30,září 2013,"41,4"
2013-10-31,říjen 2013,"39,1"
2013-11-30,listopad 2013,"37,5"
2013-12-31,prosinec 2013,"35,2"
2014-01-31,leden 2014,"36,4"
2014-02-28,únor 2014,"38,3"
2014-03-31,březen 2014,"40,8"
2014-04-30,duben 2014,"44,2"
2014-05-31,květen 2014,48
2014-06-30,červen 2014,"49,5"
2014-07-31,červenec 2014,"51,1"
2014-08-31,srpen 2014,"54,7"
2014-09-30,září 2014,"56,6"
2014-10-31,říjen 2014,"58,2"
2014-11-30,listopad 2014,"59,4"
2014-12-31,prosinec 2014,"58,7"
2015-01-31,leden 2015,"62,3"
2015-02-28,únor 2015,69
2015-03-31,březen 2015,76
2015-04-30,duben 2015,"83,7"
2015-05-31,květen 2015,"92,7"
2015-06-30,červen 2015,97
2015-07-31,červenec 2015,"98,1"
2015-08-31,srpen 2015,"103,8"
2015-09-30,září 2015,"108,6"